,Cores & Instances,Query/Model,Dataset size,Execution Time,CPU Usage
0,2 cores & 12 instances - 4W,Sample loading,100,16.11558222770691,32.7
1,2 cores & 12 instances - 4W,Query 1,100,6.961515188217163,36.8
2,2 cores & 12 instances - 4W,Query 2,100,5.472331285476685,33.0
3,2 cores & 12 instances - 4W,Query 3,100,7.817259073257446,35.0
4,2 cores & 12 instances - 4W,Liner Regression,100,37.28099918365479,25.8
5,2 cores & 12 instances - 4W,Decison Tree,100,27.87275004386902,20.7
6,2 cores & 12 instances - 4W,Random Forest Regression,100,24.74008178710937,17.1
7,2 cores & 12 instances - 4W,Sample loading,700,13.286910057067873,9.6
8,2 cores & 12 instances - 4W,Query 1,700,3.368847370147705,14.0
9,2 cores & 12 instances - 4W,Query 2,700,3.756889581680298,14.8
10,2 cores & 12 instances - 4W,Query 3,700,6.545511960983276,17.8
11,2 cores & 12 instances - 4W,Liner Regression,700,36.20997047424317,14.7
12,2 cores & 12 instances - 4W,Decision Tree,700,26.94177222251892,15.3
13,2 cores & 12 instances - 4W,Random Forest Regression,700,24.869142293930054,14.2
14,2 cores & 12 instances - 4W,Sample loading,1300,29.00465154647827,12.5
15,2 cores & 12 instances - 4W,Query 1,1300,3.274095058441162,9.4
16,2 cores & 12 instances - 4W,Query 2,1300,3.647270679473877,10.7
17,2 cores & 12 instances - 4W,Query 3,1300,7.795445203781128,8.8
18,2 cores & 12 instances - 4W,Liner Regression,1300,35.02082920074463,13.0
19,2 cores & 12 instances - 4W,Decision Tree,1300,28.56442093849182,12.6
20,2 cores & 12 instances - 4W,Random Forest Regression,1300,26.665043354034424,14.5
