Cores & Instances,Query/Model,Dataset size,Execution Time,CPU Usage
2 cores & 18 instances,Sample loading,100,22.38568353652954,28.6
2 cores & 18 instances,Query 1,100,8.279625654220581,19.3
2 cores & 18 instances,Query 2,100,6.149248361587524,18.1
2 cores & 18 instances,Query 3,100,10.39995789527893,20.1
2 cores & 18 instances,Liner Regression,100,52.28927969932556,16.5
2 cores & 18 instances,Decison Tree,100,38.30287599563599,12.6
2 cores & 18 instances,Random Forest Regression,100,34.61962342262268,11.3
2 cores & 18 instances,Sample loading,700,19.59671688079834,7.4
2 cores & 18 instances,Query 1,700,4.443649530410767,11.5
2 cores & 18 instances,Query 2,700,5.216321468353272,7.9
2 cores & 18 instances,Query 3,700,8.595763683319092,9.5
2 cores & 18 instances,Liner Regression,700,54.442248582839966,10.1
2 cores & 18 instances,Decision Tree,700,39.06857633590698,9.5
2 cores & 18 instances,Random Forest Regression,700,36.81922698020935,11.3
2 cores & 18 instances,Sample loading,1300,42.64761853218079,8.5
2 cores & 18 instances,Query 1,1300,11.982370376586914,5.3
2 cores & 18 instances,Query 2,1300,4.781973361968994,9.4
2 cores & 18 instances,Query 3,1300,8.554416418075562,7.3
2 cores & 18 instances,Liner Regression,1300,52.54881739616394,8.1
2 cores & 18 instances,Decision Tree,1300,44.95233011245728,8.4
2 cores & 18 instances,Random Forest Regression,1300,38.228243589401245,8.7
